"ICB_Braun"	"ICB_Gide"	"ICB_Hugo"	"ICB_Hwang"	"ICB_Jerby_Arnon"	"ICB_Jung"	"ICB_Kim"	"ICB_Liu"	"ICB_Mariathasan"	"ICB_Miao1"	"ICB_Nathanson"	"ICB_Padron"	"ICB_Puch"	"ICB_Riaz"	"ICB_Roh"	"ICB_Shiuan"	"ICB_Snyder"	"ICB_Van_Allen"	"ICB_VanDenEnde"
"patientid"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	25	42	35
"sex"	181	41	27	21	105	27	0	121	348	33	24	45	0	0	16	0	25	42	0
"age"	180	41	27	0	0	27	0	0	0	33	24	45	0	0	16	0	25	42	0
"cancer_type"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	25	42	35
"histo"	0	0	0	0	0	0	0	119	0	0	24	0	0	46	0	0	0	42	0
"tissueid"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	0	42	35
"treatmentid"	181	0	27	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	35
"stage"	0	0	0	0	0	0	0	121	0	0	0	0	0	40	0	0	0	42	0
"response.other.info"	0	0	0	0	0	27	0	0	0	0	24	0	0	0	0	0	0	0	0
"recist"	172	41	27	0	103	0	45	121	298	33	0	0	55	44	16	15	25	41	0
"response"	142	38	27	16	96	27	31	112	235	28	24	23	49	30	15	13	18	39	32
"treatment"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	25	42	35
"dna"	123	0	27	0	0	27	0	121	274	33	24	0	0	42	10	0	25	0	0
"rna"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	0	15	25	42	35
"survival_time_pfs"	181	41	0	21	104	27	0	121	0	33	0	45	0	0	0	0	25	42	0
"event_occurred_pfs"	181	41	0	21	105	27	0	121	0	33	0	45	0	0	0	0	25	42	0
"survival_time_os"	181	41	26	21	0	0	0	121	348	33	24	45	0	46	16	0	25	42	0
"event_occurred_os"	181	41	27	21	0	0	0	121	348	33	24	45	0	46	16	0	25	42	0
"survival_unit"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	25	42	35
"survival_type"	181	41	27	21	112	27	45	121	348	33	24	45	55	46	16	15	25	42	35
"TMB_raw"	123	0	0	0	0	27	0	121	260	33	24	0	0	42	10	0	0	40	0
"nsTMB_raw"	123	0	0	0	0	27	0	121	260	33	24	0	0	42	10	0	0	40	0
"indel_TMB_raw"	123	0	0	0	0	0	0	121	0	33	24	0	0	0	0	0	0	40	0
"indel_nsTMB_raw"	123	0	0	0	0	0	0	121	0	33	24	0	0	0	0	0	0	40	0
"TMB_perMb"	123	0	0	0	0	27	0	121	260	33	24	0	0	42	10	0	0	40	0
"nsTMB_perMb"	123	0	0	0	0	27	0	121	260	33	24	0	0	42	10	0	0	40	0
"indel_TMB_perMb"	123	0	0	0	0	0	0	121	0	33	24	0	0	0	0	0	0	40	0
"indel_nsTMB_perMb"	123	0	0	0	0	0	0	121	0	33	24	0	0	0	0	0	0	40	0
"CIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CNA_tot"	0	0	0	0	0	0	0	121	274	0	0	0	0	0	0	0	0	0	0
"AMP"	0	0	0	0	0	0	0	121	274	0	0	0	0	0	0	0	0	0	0
"DEL"	0	0	0	0	0	0	0	121	274	0	0	0	0	0	0	0	0	0	0
